City,Website,Status,MML_Slug,Phone,Population,NextElection,Officials
Newton,https://www.newtonms.org/,OK,Newton,(601) 683-6181,3373,06/2029,Mayor: Jay Powell | Alderman: Michael Hillie | Alderman: David Pitts | Alderman: Eric McCalphia | Alderman: Dan Moncrief | Alderwoman: Kay Killens | City Clerk: Charlene Evans
North Carrollton,https://northcarrolltonms.us/,OK,North-Carrollton,(662) 237-9268,604,06/2029,Mayor: Ken Strachan | Alderman: Edward Carpenter | Alderman: Mitchell Costilow | Alderman: Christopher Givens | Alderman: Tom Hearn | Alderman: Edward Holman | City Clerk: Lendera Williams
Noxapater,http://www.noxapater.com/,OK,Noxapater,(662) 724-4476,379,06/2029,Mayor: Sammy Carter | Alderman: Thomas Bartholomew | Alderman: Brandon Burrage | Alderwoman: Faye Glass | Alderman: Terry Kelley | Alderman: Bobby Pierce | City Clerk/Court Clerk: Faye Ellis
Oakland,,"PAGE FOUND, NO WEB LINK",Oakland,(662) 623-8668,578,06/2029,Mayor: Stephanie Patterson | Alderwoman: Marzet Bland | Alderman: Terry Ellis | Alderman: Joe Jenkins | Alderwoman: Sharonda Jones | Alderman: Kenneth  Leland | City Clerk/Court Clerk: Margaret Suggs
Ocean Springs,https://oceansprings-ms.gov/,OK,Ocean-Springs,(228) 875-4236,"19,000",06/2029,Mayor: Robert Cox | Alderman: Matthew Hinton | Alderman: Steve Tillis | Alderwoman: Karen Stennis | Alderman: Kevin  Wade | Alderwoman: Shannon Pfeiffer | Alderman: Robert Blackman | Alderwoman: Julie Messenger | City Clerk: Christine  Millard
Okolona,https://www.cityofokolona.com/,OK,Okolona,(662) 447-5461,"2,513",06/2029,Mayor: Sherman Carouthers | Councilwoman: Susie Morgan | Councilwoman: Angela Gardner | Councilwoman: Chandra Trice | Councilwoman: Marsha Gates | Councilman: Marlon Thomas | Councilman: Anthony  Floyd
Olive Branch,http://www.obms.us,OK,Olive-Branch,(662) 892-9200,"47, 365",06/2029,Mayor: Kenneth Adams | Alderman: George Collins | Alderman: Gil Earhart | Alderwoman: Pat Hamilton | Alderman: Don Gammage | Alderman: David Wallace | Alderwoman: Jan Aldridge | Alderman: Dale Dickerson | City Clerk: Tena Stewart
Osyka,,"PAGE FOUND, NO WEB LINK",Osyka,(601) 542-5041,420,06/2029,Mayor: Jamie Harrell | Alderman: Earl Alleman | Alderman: Carey Christian | Alderman: James Morris | Alderman: Jimmy Phelps | Alderwoman: Janice  Williams | City Clerk: Denise Bonvillian
Oxford,http://www.oxfordms.net,OK,Oxford,(662) 232-2350,"25,600",06/2029,Mayor: Robyn Tannehill | Alderwoman At-Large: Mary Crowe | Alderwoman: Erin Smith | Alderman: Mark Huelse | Alderman: Brian Hyneman | Alderman: Kesha Howell-Atkinson | Alderman: Preston Taylor | Alderman: Jason Bailey | City Clerk: Leslie  McCormick
Pace,,"PAGE FOUND, NO WEB LINK",Pace,(662) 723-6292,183,06/2029,Mayor: Darnell McNeal | Alderman: Stacy Brown | Alderwoman: Lena Gray-Hampton | Alderman: Benny Hamilton | Alderwoman: Laura Hopson | Alderwoman: Auwilda Shelly | City Clerk/Court Clerk: Curtissia Allen
Pachuta,,"PAGE FOUND, NO WEB LINK",Pachuta,(601) 776-3131,207,06/2029,Mayor: Phil Fuller | Alderman: Keith Bogan | Alderman: Terry Herring | Alderwoman: Ashley Higginbotham | Alderwoman: Shirley Johnson | Alderwoman: Amy  Newton | City Clerk: James Skidmore
Paden,,"PAGE FOUND, NO WEB LINK",Paden,(662) 438-6628,104,06/2025,Mayor: Pam Oswalt | Alderwoman: Kristy Deaton | Alderman: Anthony Faulkner | Alderwoman: Jean Luttrell | Alderman: James Murphy | Alderman: Carl Whitehead | City Clerk: Joni Harper
Pascagoula,http://www.cityofpascagoula.com,OK,Pascagoula,(228) 762-1020,"22,001",06/2029,Mayor: Jay Willis | Councilwoman At-Large: Amy Brandenstein | Councilman: Carlos Stallworth | Councilman: Felix Fornett | Councilwoman: Darcie Young | Councilman: Matt Parker | Councilman: Chris Blythe | City Clerk: Karen Kennedy | City Manager: Justin Larsen
Pass Christian,https://pass-christian.com/,OK,Pass-Christian,(228) 452-3310,6000,06/2029,Mayor: Kenneth Torgeson | Alderman: Barry Dreyfus | Alderman: Joseph Piernas | Alderman: Kirk  Kimball | Alderman: Gregory Federico | Alderman: Victor Pickich | City Clerk: Marian Governor
Pearl,http://www.cityofpearl.com,OK,Pearl,(601) 932-2262,"27,133",06/2029,Mayor: Jake Windham | Alderman: David Stovall | Alderman: Sammy Williams | Alderman: Keith Dennis | Alderman: Gary Broadwater | Alderman: Casey Foy | Alderman: Dwight Knight | Alderman: Kyle Foster | City Clerk: Kelly Scouten
Pelahatchie,https://pelahatchie.org/,OK,Pelahatchie,(601) 854-5224,1200,06/2029,Mayor: Karl Van Horn | Alderman: Edward Jones | Alderwoman: Diane Hill | Alderwoman: Sandra Harvey | Alderman: David Gray | Alderman: James Harrell | City Clerk: Heather Pennypacker
Petal,https://cityofpetal.com/,OK,Petal,(601) 545-1776,"11,010",06/2029,Mayor: Anthony Ducker | Alderman: Mike Lott | Alderman: Gerald Steele | Alderwoman: Kim Stringer | Alderman: Blake Nobles | Alderman: Craig Strickland | Alderman: Drew Brickson | Alderman: Craig J Bullock | City Clerk: Melissa Martin
Philadelphia,http://www.philadelphiathecity.com/contact-us,OK,Philadelphia,(601) 656-3612,7030,06/2029,Mayor: Jim Fulton | Alderman: Mark Cheatham | Alderman: Darnell Horne | Alderman: Shaun Seales | Alderman: Bert  Turcotte | Alderman At-Large: James Waltman | City Clerk: Nikki Walton
Picayune,https://www.picayune.ms.us/,OK,Picayune,(601) 799-0615,"11,856",06/2029,"Mayor: James Luke | Councilwoman: Anna Turnage | Councilwoman: Lynn Bumpers | Councilwoman: Janice Stevens | Councilman: Larry Breland, Sr | Councilman: Josiah Hickman | City Clerk: Sid Albritton | City Manager: Harvey Miller"
Pickens,,"PAGE FOUND, NO WEB LINK",Pickens,(662) 468-2171,920,06/2029,Mayor: William Edwards | Alderwoman: Delorine Edwards | Alderwoman: Kristen Ellis | Alderman: Shakirah Jones Sr | Alderwoman: Pearl Sheppard | Alderman: Kenji Tucker | City Clerk: Shameka Gypson
Pittsboro,,"PAGE FOUND, NO WEB LINK",Pittsboro,(662) 412-2053,202,06/2029,Mayor: Cindy Hubbard | Alderman: Heath Franklin | Alderman At-Large: Jimmy Franklin | Alderman: Gerald Hubbard | Alderman At-Large: Troy Moore | Alderwoman: Sarah Moore | City Clerk: Barbara Hamilton
Plantersville,,"PAGE FOUND, NO WEB LINK",Plantersville,(662) 844-2012,868,06/2029,Mayor: Shelton Shannon | Alderman: Nathan Chisolm | Alderman: Charles Heard | Alderman: Sedrick Mabry | Alderwoman: Renee Morris | Alderman: Sextus Shannon | City Clerk: Brandy Smith
Polkville,,"PAGE FOUND, NO WEB LINK",Polkville,(601) 537-3115,588,06/2029,Mayor: Robert Miles | Alderman: Randy  Gray | Alderman: Paul  Hales | Alderman: Jeremy Price | Alderman: Barron Price | Alderman: Glenn Wiggins | City Clerk: Sarah Jernigan
Pontotoc,,"PAGE FOUND, NO WEB LINK",Pontotoc,(662) 489-4321,"5,640",06/2029,Mayor: Robert Peeples | Alderman: David Anderson | Alderwoman: Monica Lindsey | Alderman: Mickey Mapp | Alderman: Marty Mills | Alderman: Jeff Stafford | City Clerk: Jessica Williams
Pope,,"PAGE FOUND, NO WEB LINK",Pope,(662) 267-1963,250,06/2029,Mayor: Sheila Roebuck | Alderman: Jessie Flowers | Alderwoman: Ann Mills | Alderwoman: Rachel Pickett | City Clerk: Bonnie Roebuck
Poplarville,,"PAGE FOUND, NO WEB LINK",Poplarville,(601) 795-8161,"2,833",06/2029,Mayor: Louise Smith | Alderman: Russell Miller | Alderman: Bobby Nestle | Alderwoman: Janie Richardson | Alderman: Byron Wells | Alderman: Brad Wells | City Clerk: Marnie Ready
Port Gibson,,"PAGE FOUND, NO WEB LINK",Port-Gibson,(601) 437-4234,1350,12/2027,Mayor: Willie White | Alderman: Steven Chambliss | Alderwoman: Connie Watson | Alderwoman: Chelshe Archie | Alderwoman: Myrtle Hedrick | Alderman: Scott Davis | Alderwoman: Nicole Young | City Clerk: Isom Coleman
Potts Camp,,"PAGE FOUND, NO WEB LINK",Potts-Camp,(662) 333-7285,416,06/2029,Mayor: Sidney  Person | Alderman: Michael Brown | Alderman: James Houston | Alderwoman: Sabrina Porter | Alderwoman: Dollean Porter | Alderman: Dunmetria Russell | City Clerk: Marie Alderson
Prentiss,,"PAGE FOUND, NO WEB LINK",Prentiss,(601) 792-5196,976,06/2025,Mayor: Tony Waits | Alderwoman: Rhonda  Bayles | Alderwoman: Holley Cochran | Alderman: Willard Davis | Alderman: Hal Speights | Alderwoman: Rebecca Williamson
Puckett,http://townofpuckett.com/,OK,Puckett,(601) 825-8074,342,06/2029,Mayor: Russell Espiritu | Alderman: Steven Earley | Alderwoman: Sheila Gates | Alderwoman: Brittney  Hollingsworth | Alderwoman: Heath  Outlaw | Alderman: Rufus Vanderford | City Clerk: Lillie Hays
Purvis,,"PAGE FOUND, NO WEB LINK",Purvis,(601) 794-2472,"2,175",06/2029,Mayor: Roger Herrin | Alderman: Wendell Hudson | Alderwoman: Donna Bielstein | Alderman: Leon Hartfield | Alderwoman: Jerry Smith | Alderwoman: Deborah Ferrell | City Clerk: Catherine Kemp
Quitman,http://www.ci.quitman.ms.us,OK,Quitman,(601) 776-3728,2061,06/2029,Mayor: Christopher Reeves | Alderman At-Large: Harry Wheat | Alderman: Joe Brooks | Alderwoman: Bridgett Peters | Alderwoman: Monica Fuller | Alderman: Steve  Neely | City Clerk: Tammy  Simpson
Raleigh,,"PAGE FOUND, NO WEB LINK",Raleigh,(601) 782-4672,"1,104",06/2029,Mayor: Angela  Pickering | Alderwoman: Colleen Butler | Alderwoman: Sandra Page | Alderman: Robert Thompson | Alderwoman: Hope Westbrook | Alderman: Gene Young | City Clerk: Tammy  Jones
Raymond,https://raymondms.com/,OK,Raymond,(601) 857-8041,"1,960",06/2029,Alderwoman: Lou Anne Askew | Alderman: Aubrey Barnette | Alderman: Steve Beard | Alderman: Kara  Culpepper | Alderman: Joseph Jamison | City Clerk: Jennifer Benton
Renova,https://www.townofrenovams.com/,OK,Renova,(662) 843-8233,676,06/2029,Mayor: Harvey Green | Alderwoman: Jurel Beamon | Alderwoman: Marilyn Conrad | Alderwoman: Sharon Hills | Alderman: Milton Hunt | Alderwoman: Lenora Payne | City Clerk: Pamela Martin
Richland,https://richlandms.org/,OK,Richland,(601) 932-3000,"7,137",06/2029,Mayor: Frederick Burns | Alderman: John Hamilton | Alderman: Scot Mancil | Alderman: Matthew Quick | Alderwoman: Beth Sanford | Alderman: A. J. Shields | City Clerk: Karen Jackson
Richton,,"PAGE FOUND, NO WEB LINK",Richton,(601) 788-6015,920,06/2029,Mayor: Michael Ruffin | Alderman: Bryan Evans | Alderman: Edward Hearn | Alderman: James Kitchens | Alderman: Anthony Lee | Alderwoman: Brenda Phillips | City Clerk/Court Clerk: Terri Dunn
Ridgeland,http://www.ridgelandms.org,OK,Ridgeland,(601) 856-7113,"24,662",06/2029,Mayor: Gene McGee | Alderman: D. I. Smith | Alderman: Kenneth Heard | Alderman: Chuck Gautier | Alderman: Kevin Holder | Alderman: Brian Ramsey | Alderman: William Lee | Alderman: Wesley Hamlin
Rienzi,,"PAGE FOUND, NO WEB LINK",Rienzi,(662) 462-5315,281,06/2029,Mayor: Walter Williams | Alderman: Jimmy Harwood | Alderman: Dale Leonard | Alderwoman: Melissa Morgan | Alderman: Evan Norvil | Alderman: Harold Palmer | City Clerk: Jessica McDougal
Ripley,https://www.ripley.ms.gov/,OK,Ripley,(662) 837-7154,"5,359",06/2029,Mayor: Jon Grisham | Alderman: Barry Cook | Alderman: Kenneth Walker | Alderman: Joey Bryant | Alderman: Jackie McKenzie | Alderman: Stephen Freeman | City Clerk: Tracy Luna
Rolling Fork,,"PAGE FOUND, NO WEB LINK",Rolling-Fork,(662) 873-2814,1268,06/2029,Mayor: Eldridge Walker | Alderwoman: Carolyn Washington | Alderman: Calvin Stewart | Alderwoman: Noelle Whiteside | Alderwoman: LaDonna Sias | Alderman: Undray Williams | City Clerk: Ebony Gryer
Rosedale,,"PAGE FOUND, NO WEB LINK",Rosedale,(662) 759-6813,"1,584",12/2029,Mayor: Jackson Coleman | Councilman: Johnathan Moore | Councilman: Kierre Scott | Councilman: Cordarius Walker | Councilman: Lezedric Walker | City Clerk: JaSanda Love
Roxie,,"PAGE FOUND, NO WEB LINK",Roxie,(601) 322-7301,469,06/2029,Mayor: Sharon Miller Davis | Alderwoman: Cynthia Doss | Alderman: Jeremy Dyer | Alderwoman: Robin Hunt | Alderman: Santana Jenkins | Alderwoman: Alexis Thompson | City Clerk: Stephanie Denham
Ruleville,,"PAGE FOUND, NO WEB LINK",Ruleville,(662) 756-2791,"2,642",06/2029,Mayor: Michael Clark | Alderman: Rrell Brand | Alderman: Willie Nevills | Alderman: Willie Robinson | Alderman: Tommy Boykin | Alderman: Marvin Hawkins | City Clerk: Joyce Walker
Sallis,,"PAGE FOUND, NO WEB LINK",Sallis,(662) 289-4909,131,06/2029,Mayor: Luke Eaton | Alderwoman: Jacqueline  Ables Turner | Alderwoman: Gloria Bordelon | Alderwoman: Cindy Cochran | Alderwoman: Linda Hutchison | Alderwoman: Shannon Lewis | City Clerk: Melissa Roberts
Saltillo,http://www.saltilloms.org/,OK,Saltillo,(662) 869-5431,5000,06/2029,Mayor: Copey Grantham | Alderman: Scottie Clark | Alderman: Todd Ellis | Alderman: Terry Glidewell | Alderman: Brian Morgan | Alderwoman: Sonya Witcher | City Clerk: Morgan Smith
Sandersville,,"PAGE FOUND, NO WEB LINK",Sandersville,(601) 649-3068,636,06/2029,Mayor: Charles White | Alderman: Mike Hickson | Alderwoman: Darlene Hill | Alderman: Harmon Hill | Alderman: Jerry  Robinson | Alderman: Max Sanders | City Clerk: Paula Byrd
Sardis,,"PAGE FOUND, NO WEB LINK",Sardis,(662) 487-2371,"1,748",06/2029,Mayor: Mancini Arnold | Alderman: Micheal Edwards | Alderman: Michael Price | Alderwoman: Logann Smith-Boutwell | Alderman: Eric Spann | Alderwoman: Bonnie Smith | City Clerk: Tiara King
Satartia,,"PAGE FOUND, NO WEB LINK",Satartia,(601) 624-6261,55,06/2027,Mayor: Michelle Douglas | Alderman: Larry Douglas | Alderwoman: Mary Hart | Alderwoman: Jennifer Martin | Alderwoman: Kathleen Nesbit | City Clerk: Mitzi Tompkins
Schlater,,NOT FOUND (non-member?),,,,,
Scooba,https://townofscooba.net/,OK,Scooba,(662) 476-8451,744,06/2029,Mayor: Craig Nave | Alderman: Kelvin Brown | Alderman: Kenneth  Sparks | Alderwoman: Sarah Buie | Alderwoman: Thenesha Hopson Baylor | Alderman: Rodney Woodards | City Clerk: Penny Owen
Sebastopol,,"PAGE FOUND, NO WEB LINK",Sebastopol,(601) 625-7200,330,06/2029,Mayor: Greg McGarrity | Alderwoman: Tarah Cantner | Alderman: Albert Easom | Alderman: Randy Peoples | Alderman: Jeff Taylor | Alderwoman: Renita Wilcher | City Clerk/Court Clerk: Michelle Anderson
Seminary,,"PAGE FOUND, NO WEB LINK",Seminary,(601) 722-9426,294,06/2029,Mayor: Rick Hux | Alderwoman: Janet Abercrombie | Alderman: Freddy Bullock | Alderman: Gary Cothran | Alderman: Billy Karolyi | Alderman: Steve Sanford | City Clerk/Court Clerk: Charlotte Dunn
Senatobia,,"PAGE FOUND, NO WEB LINK",Senatobia,(662) 562-4474,"8,354",06/2029,Mayor: Greg Graves | Alderman: Kevin Dear | Alderman At-Large: Demetrius Garrett | Alderman: Chris McConnell | Alderman: Allen Tanksley | Alderman: Jeff Underwood | City Clerk: Katie Harbin
Shannon,,"PAGE FOUND, NO WEB LINK",Shannon,(662) 687-1067,1400,06/2029,Mayor: Paul Lyles | Alderman: Joseph McCord | Alderman: Kelvin Miller | Alderman: Timothy Thompson | Alderman: Homer  Washington | Alderwoman: Dearren Young | City Clerk: Kim Collins-Calvert
Shaw,,"PAGE FOUND, NO WEB LINK",Shaw,(662) 754-3131,"1,625",06/2029,Mayor: Chandrina Perry-Watkins | Alderwoman: Gloria Carter | Alderwoman: Mary Franklin | Alderman: Trevina McGee | Alderman: Dameon Shaw | Alderwoman: Martina Trotter | City Clerk: Ann Blakes
Shelby,,"PAGE FOUND, NO WEB LINK",Shelby,(662) 398-5156,"1,970",06/2029,Mayor: Robert  Scott | Alderman: Martavius Atkins | Alderman: Harold Billings | Alderman: Kermit Stanton | Alderman: Earl  Walker | Alderman: Ashkelon Stapleton | City Clerk: Tina Womack
Sherman,http://shermanms.net/index.html,OK,Sherman,(662) 840-9185,850,06/2029,Mayor: Mike Swords | Alderman: Randy Bolen | Alderman: Adam Jolly | Alderwoman: Christie McDonald | Alderman: Keith Rogers | Alderwoman: Martha Swindle | City Clerk: Amanda Hodge
Shubuta,,"PAGE FOUND, NO WEB LINK",Shubuta,(601) 687-1536,390,06/2029,Mayor: Cedric Chapman | Alderwoman: Reagan McFarland | Alderwoman: Dora  McFarland | Alderwoman: Cozette Peters | Alderwoman: Shelia Trotter | Alderman: Charles Williams | City Clerk: Kutrinah Nelson
Shuqualak,,"PAGE FOUND, NO WEB LINK",Shuqualak,(662) 793-4675,392,06/2029,Mayor: Velma Jenkins | Alderman: Freddie Ash | Alderwoman: Kathy Buckhalter | Alderwoman: Gabrielle  Cotton | Alderwoman: Evelyn Murray | Alderman: Jheremy Payton | City Clerk: Sonya Slaughter
Sidon,,"PAGE FOUND, NO WEB LINK",Sidon,(662) 453-9669,311,06/2029,Mayor: Tanya Thompson | Alderwoman: Linda Crigler | Alderwoman: Fannie Gordon | Alderwoman: Ruthie Hampton | Alderman: Oscar Mitchell | Alderman: Jerry Smith | City Clerk: Mary Cary
Silver City,,"PAGE FOUND, NO WEB LINK",Silver-City,(662) 247-4043,223,06/2029,Mayor: Robert Hairston | Alderman: Harold Bridges | Alderwoman: Christine  Chinn | Alderwoman: Irene Hall | Alderman: Matthew  Hood | Alderwoman: Jerry McLendon | City Clerk: Gale Alexander
Silver Creek,,"PAGE FOUND, NO WEB LINK",Silver-Creek,(601) 886-7866,400,06/2029,Mayor: Elizabeth Turnage | Alderwoman: Cassie Bridges | Alderman: Patrick Bridges | Alderman: Ronald Fortenberry | Alderwoman: Keisha  Johnson | Alderman: Charles Lewis | City Clerk: Amy Dunaway
Slate Springs,,"PAGE FOUND, NO WEB LINK",Slate-Springs,(662) 637-2622,98,06/2029,Mayor: Andy Cannon | Alderwoman: Susie Cardwell | Alderman: Cliff Golden | Alderwoman: Donna Lovorn | Alderman: Greg Lovorn | Alderman: Darnell Nabors | City Clerk: Kim Lenard
Sledge,https://www.sledge.ms/,OK,Sledge,(662) 382-7716,368,06/2029,Mayor: Yalonda Conley- Watson | Alderwoman: Julie Branch | Alderwoman: Shequeda  Burt | Alderman: Howard Eckford | Alderwoman: Bonnie Fleming | Alderwoman: Donna Wimberly | City Clerk: Mary Black
Smithville,,"PAGE FOUND, NO WEB LINK",Smithville,(662) 651-4411,717,06/2029,Mayor: Phil Goodwin | Alderman: Byron Coker | Alderman: William Cooley | Alderman: Jimmy Dabbs | Alderman: Jim Herren | Alderman: Natural Standifer | City Clerk: Kimberly Johnson
Snow Lake Shores,http://www.townofsnowlakeshores.com,OK,Snow-Lake-Shores,(662) 224-3050,500,06/2029,Mayor: Harry Leuer | Alderwoman: Brenda Bartus | Alderman: Shawn Decrow | Alderman: Michael Fly | Alderwoman: Stephanie Heltz- Butler | City Clerk: Sheri Briggs
Soso,,"PAGE FOUND, NO WEB LINK",Soso,(601) 729-2958,403,06/2029,Mayor: Michael Moore | Alderman: Scott Hinton | Alderwoman: Katie Hinton | Alderman: Douglas Johnston | Alderman: Michael Simpson | Alderwoman: Summer Yates | City Clerk: Crystal Hendry
Southaven,http://www.southaven.org,OK,Southaven,(662) 280-2489,"56,851",06/2029,Mayor: Darren Musselwhite | Alderman: Charlie  Hoots | Alderwoman: Judy Jenkins | Alderman: Judy  Jenkins-Lewis | Alderman: William Jerome | Alderman At-Large: George  Payne | Alderman: Joel Gallagher | Alderman: John Wheeler | Alderman: Raymond Flores | City Clerk: Andrea Mullen
Starkville,http://www.cityofstarkville.org,OK,Starkville,(662) 323-2525,"25,444",06/2029,Mayor: Lynn Spruill | Alderman: Mike Brooks | Alderwoman: Kim Moreland | Alderman: William Pochop | Alderman: James Skinner | Alderwoman: Sandra Sistrunk | Alderman: Roy Perkins | Alderman: Henry Vaughn | City Clerk: Joanna McLaurin
State Line,,"PAGE FOUND, NO WEB LINK",State-Line,(601) 848-7755,700,06/2029,Mayor: Willie  Miller | Alderman: Michael Coaker | Alderman: Don Hinton | Alderman: Eric  Sims | Alderman: Michial West | Alderman: Terry Young | City Clerk: Penny Lucas
Stonewall,http://www.townofstonewall.org,OK,Stonewall,(601) 659-7033,879,06/2029,Mayor: Penny  Walker | Alderwoman: Stephanie Carlisle | Alderman: Stephen Krajewski | Alderman: Jerry Rich | Alderman: Richard Smith | Alderman: James  Speed | City Clerk: Glynis Banes
Sturgis,,"PAGE FOUND, NO WEB LINK",Sturgis,(662) 465-7970,210,06/2029,Mayor: Jerry Bean | Alderwoman: Renee Black | Alderwoman: Lori Carpenter | Alderwoman: Susanne McClelland | Alderwoman: Laura Smith | Alderwoman: Amanda Ware | City Clerk: Mandy Page
Summit,,"PAGE FOUND, NO WEB LINK",Summit,(601) 276-9536,"1,502",06/2029,Mayor: Percy Robinson | Councilman: Keyorn Daniels | Councilman At-Large: Da'Juan  Hodges | Councilwoman At-Large: Pauline Monley | Councilman At-Large: Marcus Pittman | City Clerk: Suzonne Perkins
Sumner,,"PAGE FOUND, NO WEB LINK",Sumner,(662) 375-8773,278,06/2029,"Mayor: Jackson Webb, IV | Alderman: William  Boggan | Alderman: Jack  Flautt | Alderwoman: Pamela  Fortner | Alderman: Frank  Mtchener | Alderman: Charles  Robinette | City Clerk: Toni Clark"
Sumrall,,"PAGE FOUND, NO WEB LINK",Sumrall,(601) 758-3591,"1,765",06/2029,Mayor: William  Lofton | Alderwoman: Brittany Fortenberry | Alderman: Jeffery Coulter | Alderwoman: Shanna  Istre | Alderwoman: Pam Graves | Alderman: Darrell Hall | City Clerk: Jo Ann Robbins
Sunflower,,"PAGE FOUND, NO WEB LINK",Sunflower,(662) 569-3388,995,06/2029,Mayor: Desiree Norwood | Alderwoman: Betty Brown | Alderman: John   Chapman | Alderwoman: JaQuana Haley | Alderman: Kent Hawkin | Alderwoman: Betty Miller | City Clerk/Court Clerk: Yumekia Stovall
Sylvarena,,"PAGE FOUND, NO WEB LINK",Sylvarena,(601) 421-5348,87,06/2029,Mayor: Don Wilson | Alderwoman: Melissa Adams | Alderwoman: Gloria Adams | Alderman: David James | Alderwoman: Aleta Sullivan | Alderman: Bryan Walters
Taylor,,"PAGE FOUND, NO WEB LINK",Taylor,(662) 236-7551,498,06/2029,Mayor: Shawn Edwards | Mayor: James Hamilton | Alderman: Tim  Carter | Alderman: Steve Corso | Alderwoman: Carolyn Roberts | Alderman: William Taylor | City Clerk: Cindy Conrad
Taylorsville,,"PAGE FOUND, NO WEB LINK",Taylorsville,(601) 785-6531,"1,148",06/2029,Mayor: Len Gibson | Alderwoman: Annette Ford | Alderwoman: Cheryl McCallum | Alderman: James Page | Alderman: Mark Jones | City Clerk: Arthur Newman
Tchula,,"PAGE FOUND, NO WEB LINK",Tchula,(662) 235-5112,"1,652",06/2029,Mayor: General  Vann | Alderwoman: Rosie Brown | Alderwoman: Erma Dean | Alderwoman: Emily Denton-Reese | Alderwoman: Marie Nelson | Alderman: Calvin Wilson | City Clerk: Shaylia Powell
Terry,,"PAGE FOUND, NO WEB LINK",Terry,(601) 878-5521,"1,305",06/2029,Mayor: Bruce Hopkins | Alderman At-Large: Richard  Jones | Alderwoman At-Large: Lakisha Kendrick | Alderwoman At-Large: Jacqueline Mitchell | Alderwoman At-Large: Connie Taylor | Alderwoman At-Large: Shimacha Williams
Thaxton,,"PAGE FOUND, NO WEB LINK",Thaxton,(662) 297-8865,692,06/2029,Mayor: Jeffrey Coleman | Alderman: William  Biffle | Alderwoman: Kim Gilliam | Alderman: Edgar McDonald | Alderman: Edward Minier | Alderman: Joshua Moss | City Clerk: Sammie Jaggers
Tishomingo,,"PAGE FOUND, NO WEB LINK",Tishomingo,(662) 438-6302,370,06/2029,Mayor: James Tennyson | Alderman: Gary Harlan | Alderwoman: Barbara Oaks | Alderman: John  Savoy | Alderman: Hal Southward | Alderwoman: Anne Taylor | City Clerk: Kim Daily
Toccopola,,"PAGE FOUND, NO WEB LINK",Toccopola,(662) 586-1334,286,06/2029,"Mayor: Nicky Brewer, II | Alderwoman: Catherine Daniels | Alderwoman: Mikaela Holloway | Alderwoman: Jennifer Sims | Alderwoman: Rebecca Herren | Alderman: James  Ratliff | City Clerk: Margaret Ratliff"
Tremont,,"PAGE FOUND, NO WEB LINK",Tremont,(662) 652-3366,467,06/2029,Mayor: Robert Whitehead | Alderman: Anthony Luprete | Alderwoman: Claire Northington | Alderwoman: Cindy Rhoads | Alderman: Rebecca Stone | Alderman: Harry Stone | City Clerk: Beth Garrison
Tunica,http://townoftunica.com/,OK,Tunica,(662) 363-2432,"1,026",06/2029,Mayor: Andrew Dulaney | Alderwoman: Valerie Hartsfield | Alderman: Lee Turner | Alderwoman: Rebecca Fyfe | Alderman: Adam Fullilove | Alderman: Daniel Peirce | City Clerk: Kate Pennock
Tupelo,http://www.tupeloms.gov,OK,Tupelo,(662) 840-2578,"37,926",06/2029,Mayor: Todd Jordan | Councilwoman: Janet Gaston | Councilwoman: Rosie Jones | Councilman: Chad  Mims | Councilman: Bently Nolan | Councilman: Lynn Bryan | Councilman: Travis Beard | Councilwoman: Nettie Davis | City Clerk: Kimberly Hanna
Tutwiler,,"PAGE FOUND, NO WEB LINK",Tutwiler,(662) 345-8321,2049,06/2029,Mayor: Nichole Harris Rosebud | Alderwoman: Daven Grayson | Alderwoman: Queen Jones | Alderwoman: Sherry  Ellington | Alderwoman: Diann Pimpton | Alderwoman: Donnie Cox-Powell | City Clerk: Alma Harris
Tylertown,,"PAGE FOUND, NO WEB LINK",Tylertown,(601) 876-4011,"1,515",06/2029,Mayor: Edward Hughes | Alderwoman: Stormy Jefferson | Alderman: Kyle Johnson | Alderman: Douglas Walker | Alderman: Fred Lambert | Alderman: Frederick Magee | City Clerk: Aquaria McCray
Union,,"PAGE FOUND, NO WEB LINK",Union,(601) 774-9422,"2,042",06/2025,Mayor: Robert Blount | Alderman: Zach Robinson | Alderman: Paul Lowery | Alderman: Vince McElhenney | Alderman: Billy McCune | Alderman: Harvey Hickmon | City Clerk: Tammy Ferguson
Utica,,"PAGE FOUND, NO WEB LINK",Utica,(601) 855-8718,636,06/2029,Mayor: Calvin Williams | Alderwoman At-Large: Doris Ross | Alderwoman: Robin Robinson | Alderman: George Walker | Alderwoman: Ella Green | Alderman: Kenneth Broome | City Clerk/Court Clerk: Lisa Wilson
Vaiden,https://www.vaidenms.gov/,OK,Vaiden,(662) 464-5266,907,06/2029,Mayor: Lesia Williams-Hemphill | Alderwoman At-Large: Mary Lofton | Alderman: Theodore Purnell | Alderwoman: Willette Thomas | Alderwoman: Kimberly White | Alderwoman: Barbara Williams | City Clerk: Sonya Stokes-Greenleaf
Vardaman,,"PAGE FOUND, NO WEB LINK",Vardaman,(662) 682-7561,"1,110",06/2029,Mayor: Timothy Cook | Alderman At-Large: Robert High | Alderwoman: Danna Johnson | Alderman: Michael Langford | Alderwoman: Peggy Skinner | Alderwoman: Mary Winter | City Clerk: Tiffany Dauzat
